name	code	website	undergraduate	graduate	university_id	school_id	active	type	special_name
Architecture	MIT 4	https://architecture.mit.edu/	1	1	112	1	1	department	-
Media Arts and Sciences	MIT MAS	https://www.media.mit.edu/	1	1	112	1	1	department	-
Urban Studies and Planning	MIT 11	https://dusp.mit.edu/	1	1	112	1	1	department	-
Aeronautics and Astronautics	MIT 16	https://aeroastro.mit.edu/	1	1	112	2	1	department	-
Biological Engineering	MIT 20	https://be.mit.edu/	1	1	112	2	1	department	-
Chemical Engineering	MIT 10	https://cheme.mit.edu/	1	1	112	2	1	department	-
Civil and Environmental Engineering	MIT 1	https://cee.mit.edu/	1	1	112	2	1	department	-
Electrical Engineering and Computer Science	MIT 6	https://www.eecs.mit.edu/	1	1	112	2	1	department	-
Materials Science and Engineering	MIT 3	https://dmse.mit.edu/	1	1	112	2	1	department	-
Mechanical Engineering	MIT 2	https://meche.mit.edu/	1	1	112	2	1	department	-
Medical Engineering and Medical Physics	MIT IMES	https://hst.mit.edu/	0	1	112	2	1	department	-
Nuclear Science and Engineering	MIT 22	https://web.mit.edu/nse/	1	1	112	2	1	department	-
Anthropology	MIT 21A	https://anthropology.mit.edu/	1	1	112	3	1	department	-
Comparative Media Studies/Writing	MIT CMS/21W	https://cmsw.mit.edu/	1	1	112	3	1	department	-
Economics	MIT 14	https://economics.mit.edu/	1	1	112	3	1	department	-
Global Languages	MIT 21G	https://mitgsl.mit.edu/	1	1	112	3	1	department	-
History	MIT 21H	https://history.mit.edu/	1	1	112	3	1	department	-
Humanities	MIT 21	https://shass.mit.edu/	1	1	112	3	1	department	-
Linguistics and Philosophy	MIT 24	https://linguistics.mit.edu/	1	1	112	3	1	department	-
Literature	MIT 21L	https://lit.mit.edu/	1	1	112	3	1	department	-
Music and Theater Arts	MIT 21M	https://mta.mit.edu/	1	1	112	3	1	department	-
Political Science	MIT 17	https://polisci.mit.edu/	1	1	112	3	1	department	-
Science, Technology, and Society	MIT STS	https://sts-program.mit.edu/	1	1	112	3	1	department	-
Management	MIT 15	https://mitsloan.mit.edu/	1	1	112	4	1	department	-
Biology	MIT 7	https://biology.mit.edu/	1	1	112	5	1	department	-
Brain and Cognitive Sciences	MIT 9	https://bcs.mit.edu/	1	1	112	5	1	department	-
Chemistry	MIT 5	https://chemistry.mit.edu/	1	1	112	5	1	department	-
Earth, Atmospheric, and Planetary Sciences	MIT 12	https://eapsweb.mit.edu/	1	1	112	5	1	department	-
Mathematics	MIT 18	https://math.mit.edu/	1	1	112	5	1	department	-
Physics	MIT 8	https://physics.mit.edu/	1	1	112	5	1	department	-
Data, Systems, and Society	MIT IDS	https://dssg.mit.edu/	1	1	112	6	1	department	-
Architecture	AHA-ARCT	https://www.arct.cam.ac.uk/	1	1	113	7	1	department	-
History of Art	AHA-HOART	https://www.hoart.cam.ac.uk/	1	1	113	7	1	department	-
East Asian Studies	AMES-EA	https://www.ames.cam.ac.uk/	1	1	113	7	1	department	-
Middle Eastern Studies	AMES-ME	https://www.ames.cam.ac.uk/	1	1	113	7	1	department	-
Anglo-Saxon, Norse, and Celtic	ENGL-ASNC	https://www.asnc.cam.ac.uk/	1	1	113	7	1	department	-
Modern and Medieval Languages and Linguistics	MMLL	https://www.mmll.cam.ac.uk/	1	1	113	7	1	faculty	-
Asian and Middle Eastern Studies	AMES	https://www.ames.cam.ac.uk/	1	1	113	7	1	faculty	-
Architecture and History of Art	AHA	https://www.arct.cam.ac.uk/	1	1	113	7	1	faculty	-
Classics	CLASS	https://www.classics.cam.ac.uk/	1	1	113	7	1	faculty	-
Divinity	DIV	https://www.divinity.cam.ac.uk/	1	1	113	7	1	faculty	-
English	ENGL	https://www.english.cam.ac.uk/	1	1	113	7	1	faculty	-
Music	MUS	https://www.mus.cam.ac.uk/	1	1	113	7	1	faculty	-
Philosophy	PHIL	https://www.phil.cam.ac.uk/	1	1	113	7	1	faculty	-
Archeology	ARCH	https://www.arch.cam.ac.uk/	1	1	113	8	1	department	-
Economics	ECON	https://www.econ.cam.ac.uk/	1	1	113	8	1	faculty	-
Education	EDUC	https://www.educ.cam.ac.uk/	1	1	113	8	1	faculty	-
History	HIST	https://www.hist.cam.ac.uk/	1	1	113	8	1	faculty	-
History and Philosophy of Science	HPS	https://www.hps.cam.ac.uk/	1	1	113	8	1	department	-
Law	LAW	https://www.law.cam.ac.uk/	1	1	113	8	1	faculty	-
Criminology	CRIM	https://www.crim.cam.ac.uk/	1	1	113	8	1	institute	-
Politics and International Studies	POLIS	https://www.polis.cam.ac.uk/	1	1	113	8	1	department	-
