name	website	university_id
School of Architecture and Planning	https://sap.mit.edu/	112
School of Engineering	https://engineering.mit.edu/	112
School of Humanities, Arts, and Social Sciences	https://shass.mit.edu/	112
Sloan School of Management	https://mitsloan.mit.edu/	112
School of Science	https://science.mit.edu/	112
MIT Schwarzman College of Computing	https://computing.mit.edu/	112
School of Arts and Humanities	https://www.csah.cam.ac.uk/	113
School of the Humanities and Social Sciences	https://www.cshss.cam.ac.uk/	113
School of the Biological Sciences	https://www.bio.cam.ac.uk/	113
School of the Physical Sciences	https://www.physsci.cam.ac.uk/	113
School of Clinical Medicine	https://www.medschl.cam.ac.uk/	113
School of Technology	https://www.tech.cam.ac.uk/	113
Humanities Division	https://www.humanities.ox.ac.uk/	114
Mathematical, Physical and Life Sciences Division	https://www.mpls.ox.ac.uk/	114
Medical Sciences Division	https://www.medsci.ox.ac.uk/	114
Social Sciences Division	https://www.socsci.ox.ac.uk/	114
Harvard College	https://college.harvard.edu/	115
John A. Paulson School of Engineering and Applied Sciences	https://www.seas.harvard.edu/	115
Kenneth C. Griffin Graduate School of Arts and Sciences	https://gsas.harvard.edu/	115
Extension School	https://www.extension.harvard.edu/	115
Faculty of Arts and Sciences	https://www.fas.harvard.edu/	115
Business School	https://www.hbs.edu/	115
School of Dental Medicine	https://hsdm.harvard.edu/	115
Graduate School of Design	https://www.gsd.harvard.edu/	115
Divinity School	https://hds.harvard.edu/	115
Graduate School of Education	https://www.gse.harvard.edu/	115
Kennedy School	https://www.hks.harvard.edu/	115
Law School	https://hls.harvard.edu/	115
Medical School	https://hms.harvard.edu/	115
T.H. Chan School of Public Health	https://www.hsph.harvard.edu/	115
Radcliffe Institute for Advanced Study	https://www.radcliffe.harvard.edu/	115
Graduate School of Business	https://www.gsb.stanford.edu/	116
Graduate School of Education	https://ed.stanford.edu/	116
School of Engineering	https://engineering.stanford.edu/	116
School of Humanities and Sciences	https://humsci.stanford.edu/	116
School of Law	https://law.stanford.edu/	116
School of Medicine	https://med.stanford.edu/	116
