full_name	short_name	established	former_name	motto	type
Massachusetts Institute of Technology	mit	1861	Massachusetts Institute of Technology	Mind and Hand	private
University of Cambridge	cam-ac-uk	1209	University of Cambridge	From here, light and sacred draughts	public
University of Oxford	ox-ac-uk	1096	University of Oxford	The Lord is my Light	public
Harvard University	harvard	1636	Harvard College	Truth	private
Stanford University	stanford	1891	Leland Stanford Junior University	The wind of freedom blows	private
Imperial College London	imperial-ac-uk	1907	Royal College of Science, Royal School of Mines, City and Guilds College	Scientific knowledge, the crowning glory and the safeguard of the empire	public
ETH Zurich	ethz-ch	1855	Federal Polytechnic School	Science for the benefit of the people	public
National University of Singapore	nus-edu-sg	1905	Raffles College	Let all be dedicated to the service of the country	public
University College London	ucl-ac-uk	1826	London University	Let all come who by merit deserve the most reward	public
University of California, Berkeley	berkeley-edu	1868	College of California	Let there be light	public
University of Chicago	uchicago-edu	1890	University of Chicago	Let knowledge grow from more to more; and so be human life enriched	private
University of Pennsylvania	upenn-edu	1740	Academy of Philadelphia	Laws without morals are useless	private
Cornell University	cornell	1865	New York State Senate	I would found an institution where any person can find instruction in any study	private
University of Melbourne	unimelb-edu-au	1853	University of Melbourne	May I grow in the esteem of future generations	public
California Institute of Technology	caltech	1891	Throop University	The truth shall make you free	private
Yale University	yale	1701	Collegiate School	Light and truth	private
Peking University	pku-edu-cn	1898	Imperial University of Peking	Seeking truth from facts	public
Princeton University	princeton	1746	College of New Jersey	Under God's power she flourishes	private
University of New South Wales	unsw-edu-au	1949	New South Wales University of Technology	Scientia Manu et Mente	public
University of Toronto	utoronto-ca	1827	King's College	As a tree through the ages	public
University of Edinburgh	ed-ac-uk	1582	University of Edinburgh	The rocks will fly away	public
Columbia University	columbia	1754	Columbia College	In Thy light shall we see light	private
Universite PSL	psl-eu	2010	Universite PSL	Sapere Aude (Dare to know)	public
Tsinghua University	tsinghua-edu-cn	1911	Tsinghua College	Self-discipline and social commitment	public
Nanyang Technological University	ntu-edu-sg	1991	Nanyang Technological Institute	A Will to Do	public
University of Hong Kong	hku-hk	1911	Hong Kong College of Medicine	Sapientia et Virtus (Wisdom and Virtue)	public
Johns Hopkins University	jhu-edu	1876	Johns Hopkins University	The truth will set you free	private
