school_short_name	iso639_1	domain_name	type
mit	en-US	https://www.mit.edu/	index
mit	en-US	https://web.mit.edu/	index
mit	en-US	https://mitadmissions.org/	admissions
mit	en-US	https://studentlife.mit.edu/	student life
mit	en-US	https://catalog.mit.edu/	catalog
mit	en-US	https://oge.mit.edu/	graduate
mit	en-US	https://www.mitathletics.com/	athletics
mit	en-US	https://libraries.mit.edu/	libraries
mit	en-US	https://registrar.mit.edu/	registrar
mit	en-US	https://alum.mit.edu/	alumni
cam-ac-uk	en-GB	https://www.cam.ac.uk/	index
cam-ac-uk	en-GB	https://www.postgraduate.study.cam.ac.uk/	graduate
cam-ac-uk	en-GB	https://www.undergraduate.study.cam.ac.uk/	undergraduate
cam-ac-uk	en-GB	https://www.cao.cam.ac.uk/	admissions
cam-ac-uk	en-GB	https://www.sport.cam.ac.uk/	atheletics
cam-ac-uk	en-GB	https://www.cambridgestudents.cam.ac.uk/	student life
cam-ac-uk	en-GB	https://www.lib.cam.ac.uk/	libraries
ox-ac-uk	en-GB	https://www.ox.ac.uk/	index
ox-ac-uk	en-GB	https://www.alumni.ox.ac.uk/	alumni
ox-ac-uk	en-GB	https://www.bodleian.ox.ac.uk/	libraries
harvard	en-US	https://www.harvard.edu/	index
harvard	en-US	https://college.harvard.edu/	undergraduate
harvard	en-US	https://registrar.fas.harvard.edu/	registrar
harvard	en-US	https://gocrimson.com/	athletics
harvard	en-US	https://alumni.harvard.edu/	alumni
harvard	en-US	https://library.harvard.edu/	libraries
stanford	en-US	https://www.stanford.edu/	index
stanford	en-US	https://gostanford.com/	athletics
stanford	en-US	https://alumni.stanford.edu/	alumni
stanford	en-US	https://ed.stanford.edu/	graduate
stanford	en-US	https://undergrad.stanford.edu/	undergraduate
stanford	en-US	https://admission.stanford.edu/	admissions
stanford	en-US	https://registrar.stanford.edu/	registrar
stanford	en-US	https://library.stanford.edu/	libraries
stanford	en-US	https://studentaffairs.stanford.edu/	student life
stanford	en-US	https://www.stanforddaily.com/	student life
stanford	en-US	https://exploredegrees.stanford.edu/	catalog
stanford	en-US	https://bulletin.stanford.edu/	catalog
imperial-ac-uk	en-GB	https://www.imperial.ac.uk/	index
imperial-ac-uk	en-GB	https://library-search.imperial.ac.uk/	libraries
ethz-ch	de-CH	https://ethz.ch/	index
ethz-ch	de-CH	https://library.ethz.ch/	libraries
ethz-ch	de-CH	https://www.alumni.ethz.ch/	alumni
nus-edu-sg	en-US	https://www.nus.edu.sg/	index
nus-edu-sg	en-US	https://lib.nus.edu.sg/	libraries
nus-edu-sg	en-US	https://linc.nus.edu.sg/	catalog
ucl-ac-uk	en-GB	https://www.ucl.ac.uk/	index
berkeley-edu	en-US	https://www.berkeley.edu/	index
berkeley-edu	en-US	https://www.lib.berkeley.edu/	libraries
berkeley-edu	en-US	https://admissions.berkeley.edu/	admissions
berkeley-edu	en-US	https://registrar.berkeley.edu/	registrar
berkeley-edu	en-US	https://classes.berkeley.edu/	catalog
berkeley-edu	en-US	https://alumni.berkeley.edu/	alumni
berkeley-edu	en-US	https://studentaffairs.berkeley.edu/	student life
berkeley-edu	en-US	https://grad.berkeley.edu/	graduate
uchicago-edu	en-US	https://www.uchicago.edu/	index
uchicago-edu	en-US	https://grad.uchicago.edu/	graduate
uchicago-edu	en-US	https://www.lib.uchicago.edu/	libraries
uchicago-edu	en-US	https://collegecatalog.uchicago.edu/	catalog
uchicago-edu	en-US	https://registrar.uchicago.edu/	registrar
uchicago-edu	en-US	https://alumniandfriends.uchicago.edu/	alumni
uchicago-edu	en-US	https://athletics.uchicago.edu/	athletics
uchicago-edu	en-US	https://studentmanual.uchicago.edu/	student life
uchicago-edu	en-US	https://collegeadmissions.uchicago.edu/	admissions
upenn-edu	en-US	https://www.upenn.edu/	index
upenn-edu	en-US	https://www.library.upenn.edu/	libraries
upenn-edu	en-US	https://admissions.upenn.edu/	admissions
upenn-edu	en-US	https://srfs.upenn.edu/	registrar
upenn-edu	en-US	https://catalog.upenn.edu/	catalog
upenn-edu	en-US	https://osa.universitylife.upenn.edu/	student life
upenn-edu	en-US	https://pennathletics.com/	atheletics
cornell	en-US	https://www.cornell.edu/	index
cornell	en-US	https://www.library.cornell.edu/	libraries
cornell	en-US	https://admissions.cornell.edu/	admissions
cornell	en-US	https://gradschool.cornell.edu/	graduate
cornell	en-US	https://registrar.cornell.edu/	registrar
cornell	en-US	https://courses.cornell.edu/	catalog
cornell	en-US	https://alumni.cornell.edu/	alumni
cornell	en-US	https://www.cornellbigred.com/	athletics
cornell	en-US	https://scl.cornell.edu/	student life
unimelb-edu-au	en-AU	https://www.unimelb.edu.au/	index
unimelb-edu-au	en-AU	https://library.unimelb.edu.au/	libraries
unimelb-edu-au	en-AU	https://study.unimelb.edu.au/	admissions
unimelb-edu-au	en-AU	https://sport.unimelb.edu.au/	athletics
unimelb-edu-au	en-AU	https://cat2.lib.unimelb.edu.au/	catalog
caltech	en-US	https://www.caltech.edu/	index
caltech	en-US	https://www.admissions.caltech.edu/	admissions
caltech	en-US	https://library.caltech.edu/	libraries
caltech	en-US	https://registrar.caltech.edu/	registrar
caltech	en-US	https://www.catalog.caltech.edu/	catalog
caltech	en-US	https://gradoffice.caltech.edu/	graduate
caltech	en-US	https://gocaltech.com/	atheletics
caltech	en-US	https://www.alumni.caltech.edu/	alumni
caltech	en-US	https://studentaffairs.caltech.edu/	student life
yale	en-US	https://www.yale.edu/	index
yale	en-US	https://admissions.yale.edu/	admissions
yale	en-US	https://library.yale.edu/	libraries
yale	en-US	https://registrar.yale.edu/	registrar
yale	en-US	https://yalebulldogs.com/	athletics
yale	en-US	https://yalealumni.yale.edu/	alumni
yale	en-US	https://catalog.yale.edu/	catalog
yale	en-US	https://gsas.yale.edu/	graduate
yale	en-US	https://studentlife.yale.edu/	student life
pku-edu-cn	cn-ZH	https://www.pku.edu.cn/	index
pku-edu-cn	en-US	https://english.pku.edu.cn/	index
pku-edu-cn	cn-ZH	https://www.lib.pku.edu.cn/	libraries
princeton	en-US	https://www.princeton.edu/	index
princeton	en-US	https://admission.princeton.edu/	admissions
princeton	en-US	https://library.princeton.edu/	libraries
princeton	en-US	https://registrar.princeton.edu/	registrar
princeton	en-US	https://catalog.princeton.edu/	catalog
princeton	en-US	https://gradschool.princeton.edu/	graduate
princeton	en-US	https://www.princetontigersathletics.com/	athletics
princeton	en-US	https://alumni.princeton.edu/	alumni
princeton	en-US	https://campuslife.princeton.edu/	student life
unsw-edu-au	en-AU	https://www.unsw.edu.au/	index
unsw-edu-au	en-AU	https://www.library.unsw.edu.au/	libraries
