school_short_name	last_name	first_name	middle_name	suffix	biography_link
mit	Rogers	William Barton	-	-	https://libraries.mit.edu/mithistory/william-barton-rogers-1804-1882
cam-ac-uk	Balsham	Hugh	de	Bishop of Ely	https://www.cam.ac.uk/about-the-university/history
ox-ac-uk	Durham	William	of	-	https://en.wikipedia.org/wiki/William_of_Durham
harvard	Harvard	John	-	-	https://www.harvard.edu/about/history
stanford	Stanford	Leland	-	-	https://www.stanford.edu/about/history
stanford	Stanford	Jane	-	-	https://www.stanford.edu/about/history
nus-edu-sg	Tan 	Kim Seng	-	JP	https://www.nus.edu.sg/about-nus/history
ucl-ac-uk	Bentham	Jeremy	-	-	https://blogs.ucl.ac.uk/transcribe-bentham/jeremy-bentham
berkeley-edu	Howard	John	Galen	-	https://ced.berkeley.edu/collections/howard-john-galen
uchicago-edu	Rockefeller	John	Davison	Sr.	https://en.wikipedia.org/wiki/John_D._Rockefeller
upenn-edu	Franklin	Benjamin	-	-	https://www.upenn.edu/about/history
cornell	White	Andrew	Dickson	-	https://president.cornell.edu/the-presidency/andrew-dickson-white/
cornell	Cornell	Ezra	-	-	https://rmc.library.cornell.edu/ezra/
caltech	Millikan	Robert	Andrews	-	https://www.caltech.edu/about/history
caltech	Throop	Amos	Gager	-	https://www.caltech.edu/about/history
yale	Yale	Elihu	-	-	https://en.wikipedia.org/wiki/Elihu_Yale
princeton	Burr	Aaron	-	Sr.	https://slavery.princeton.edu/stories/aaron-burr-sr
princeton	Witherspoon	John	-	-	https://slavery.princeton.edu/stories/john-witherspoon
princeton	Jonathan	Dickinson	-	-	https://slavery.princeton.edu/stories/jonathan-dickinson
columbia	of Great Britain	 King George II	-	-	https://www.college.columbia.edu/about/history
jhu-edu	Gilman	Daniel	Coit	-	https://hub.jhu.edu/2022/12/21/daniel-coit-gilman-biography/
jhu-edu	Osler	Sir William	-	-	https://profiles.nlm.nih.gov/spotlight/gf/feature/biographical-overview
jhu-edu	Halsted	William	Stewart	M.D.	https://hub.jhu.edu/magazine/2022/fall/william-halsted-breakthroughs-addiction/
jhu-edu	Kelly	Howard	Atwood	M.D.	https://en.wikipedia.org/wiki/Howard_Atwood_Kelly
jhu-edu	Welch	William	Henry	M.D.	https://publichealth.jhu.edu/about/history/heroes-of-public-health/william-henry-welch-md
mcgill-ca	McGill	James	-	-	https://www.mcgill.ca/about/history/who-was-james-mcgill
manchester-ac-uk	Gilbert	Alan	David	AO	https://www.manchester.ac.uk/discover/history-heritage/history/
umich-edu	Richard	Father Gabriel	-	P.S.S.	https://historyofum.umich.edu/rising-from-the-ashes/
umich-edu	Woodward	Augustus	-	-	https://historyofum.umich.edu/rising-from-the-ashes/
tum-de	of Bavaria	King Ludwig II	-	-	https://www.tum.de/en/about-tum/facts-and-figures/history
nyu-edu	Gallatin	Albert	Abraham Alfonse	-	https://www.nyu.edu/about/news-publications/history-of-nyu.html
kcl-ac-uk	of the United Kingdom	King Georg IV	-	-	https://www.kcl.ac.uk/aboutkings/history/george-iv
snu-ac-kr	of Joseon	King Gojong	-	-	https://en.snu.ac.kr/about/history/timeline
monash-edu-au	Monash	Sir John	-	-	https://www.monash.edu/about/who/history
